Timestamp (UTC)        Temp (C)    Humidity (%)    VibRMS (mg)   VibPeak (mg)
------------------------------------------------------------------------
2026-06-24 20:13:12      34.69        46.43            387           418
2026-06-24 20:18:05      36.15        43.57            400           461
2026-06-24 20:22:58      36.10        43.47            389           440
2026-06-24 20:27:51      36.02        43.36            407           451
2026-06-24 20:32:44      36.01        43.32            396           457
2026-06-24 20:37:37      35.94        43.07            402           465
2026-06-24 20:42:30      36.04        42.86            386           440
2026-06-24 20:47:23      36.00        42.55            410           471
2026-06-24 20:52:16      36.03        42.42            378           427
2026-06-24 20:57:09      36.01        42.38            376           416
2026-06-24 21:02:02      35.96        42.41            365           425
2026-06-24 21:06:55      35.89        42.43            400           485
2026-06-24 21:11:48      35.82        42.32            391           460
2026-06-24 21:16:41      35.76        42.12            396           477
2026-06-24 21:21:34      35.74        41.80            379           421
2026-06-24 21:26:27      35.70        41.45            399           448
2026-06-24 21:31:20      35.63        41.35            376           445
2026-06-24 21:36:13      35.65        41.22            398           448
2026-06-24 21:41:06      35.70        41.19            408           482
2026-06-24 21:45:59      33.56        44.18            240           283
2026-06-24 21:50:52      31.76        47.21            229           258
2026-06-24 21:55:45      31.09        48.41            239           283
2026-06-24 22:00:38      30.68        49.05            234           259
2026-06-24 22:05:31      30.51        49.25            220           253
2026-06-24 22:10:24      30.34        49.57            393           441
2026-06-24 22:15:17      34.56        42.65            514           594
2026-06-24 22:20:10      35.57        40.85            502           617
2026-06-24 22:25:03      35.43        40.78            444           499
2026-06-24 22:29:55      35.26        40.95            432           497
2026-06-24 22:34:48      35.22        41.15            423           467
2026-06-24 22:39:41      35.13        41.14            410           448
2026-06-24 22:44:34      34.76        41.54            233           258
2026-06-24 22:49:27      31.98        45.78            233           283
2026-06-24 22:54:20      30.86        47.56            240           271
2026-06-24 22:59:13      30.44        48.35            227           256
2026-06-24 23:04:06      30.15        48.15            236           281
2026-06-24 23:08:59      29.97        49.23            220           251
2026-06-24 23:13:52      32.47        45.38            513           590
2026-06-24 23:18:45      34.99        41.35            526           612
2026-06-24 23:23:38      35.34        40.68            490           589
2026-06-24 23:28:31      35.16        40.90            475           548
2026-06-24 23:33:24      34.99        40.88            470           560
2026-06-24 23:38:17      34.67        41.44            235           264
2026-06-24 23:43:10      31.77        45.88            244           265
2026-06-24 23:48:03      30.58        48.06            234           257
2026-06-24 23:52:56      30.02        48.99            228           253
2026-06-24 23:57:49      29.73        49.53            225           255
2026-06-25 00:02:42      29.55        49.82            240           275
2026-06-25 00:07:35      30.94        47.77            479           565
2026-06-25 00:12:28      34.55        41.87            509           622
2026-06-25 00:17:21      34.90        41.24            441           498
2026-06-25 00:22:14      34.74        41.33            446           514
2026-06-25 00:27:07      34.16        41.95            235           268
2026-06-25 00:32:00      31.22        46.62            231           244
2026-06-25 00:36:53      30.15        48.52            225           269
2026-06-25 00:41:46      29.59        49.49            240           267
2026-06-25 00:46:39      29.35        49.91            247           277
2026-06-25 00:51:32      29.17        50.20            243           265
2026-06-25 00:56:25      30.99        47.38            440           498
2026-06-25 01:01:17      34.51        41.65            449           539
2026-06-25 01:06:10      34.57        41.40            464           558
2026-06-25 01:11:03      34.36        41.66            418           485
2026-06-25 01:15:56      32.92        43.56            231           256
2026-06-25 01:20:49      30.33        47.84            221           242
2026-06-25 01:25:42      29.46        49.53            239           265
2026-06-25 01:30:35      29.14        50.15            232           253
2026-06-25 01:35:28      28.95        50.52            240           262
2026-06-25 01:40:21      28.68        51.00            227           245
2026-06-25 01:45:14      32.10        45.41            458           507
2026-06-25 01:50:07      34.27        41.85            455           515
2026-06-25 01:55:00      33.45        42.67            236           277
2026-06-25 01:59:53      30.20        47.89            233           261
2026-06-25 02:04:46      29.16        49.85            240           280
2026-06-25 02:09:39      28.76        50.67            233           251
2026-06-25 02:14:32      28.50        51.17            235           289
2026-06-25 02:19:25      28.29        51.51            235           253
2026-06-25 02:24:18      32.21        45.01            443           508
2026-06-25 02:29:11      34.01        41.96            443           530
2026-06-25 02:34:04      34.00        41.94            457           528
2026-06-25 02:38:57      30.93        46.43            237           272
2026-06-25 02:43:50      29.08        49.91            227           259
2026-06-25 02:48:43      28.55        51.00            234           255
2026-06-25 02:53:36      28.32        51.48            233           247
2026-06-25 02:58:29      28.03        52.08            239           284
2026-06-25 03:03:22      28.54        51.42            394           424
2026-06-25 03:08:15      33.35        43.08            443           533
2026-06-25 03:13:08      33.88        42.12            432           478
2026-06-25 03:18:01      31.56        45.37            236           296
2026-06-25 03:22:54      28.93        50.13            245           269
2026-06-25 03:27:47      28.17        51.72            244           267
2026-06-25 03:32:40      27.89        52.24            237           269
2026-06-25 03:37:33      27.77        52.48            236           265
2026-06-25 03:42:25      27.62        52.71            228           265
2026-06-25 03:47:18      30.14        48.28            426           479
2026-06-25 03:52:11      33.28        42.72            435           520
2026-06-25 03:57:04      33.55        42.10            424           510
2026-06-25 04:01:57      31.24        45.23            228           261
2026-06-25 04:06:50      28.39        50.40            245           274
2026-06-25 04:11:43      27.76        51.73            239           269
2026-06-25 04:16:36      27.53        52.33            241           281
2026-06-25 04:21:29      27.32        52.77            227           258
2026-06-25 04:26:22      27.18        53.19            239           301
2026-06-25 04:31:15      27.04        53.45            223           267
2026-06-25 04:36:08      26.88        53.86            238           271
2026-06-25 04:41:01      26.75        54.24            237           264
2026-06-25 04:45:54      26.70        54.37            232           252
2026-06-25 04:50:47      26.75        54.29            229           253
2026-06-25 04:55:40      26.65        54.47            233           262
2026-06-25 05:00:33      26.49        54.85            224           250
2026-06-25 05:05:26      26.42        55.10            232           277
2026-06-25 05:10:19      26.40        55.12            238           281
2026-06-25 05:15:12      26.34        55.33            235           265
2026-06-25 05:20:05      26.24        55.59            236           267
2026-06-25 05:24:58      26.20        55.69            228           253
2026-06-25 05:29:51      26.12        55.94            234           276
2026-06-25 05:34:44      26.13        56.03            431           527
2026-06-25 05:39:37      26.18        55.66            233           257
2026-06-25 05:44:30      26.17        56.41            235           266
2026-06-25 05:49:23      26.08        56.83            236           264
2026-06-25 05:54:16      25.97        56.98            233           260
2026-06-25 05:59:09      25.91        57.10            233           267
2026-06-25 06:04:02      25.89        57.19            225           246
2026-06-25 06:08:55      25.95        57.12            237           276
2026-06-25 06:13:48      26.12        56.58            227           240
2026-06-25 06:18:41      26.20        56.36            242           279
2026-06-25 06:23:34      26.29        56.25            239           262
2026-06-25 06:28:27      26.33        56.25            234           270
2026-06-25 06:33:20      26.28        56.35            234           259
2026-06-25 06:38:13      26.32        56.45            244           279
2026-06-25 06:43:05      26.29        56.59            232           265
2026-06-25 06:47:58      26.30        56.34            228           252
2026-06-25 06:52:51      26.37        56.19            234           263
2026-06-25 06:57:44      29.82        50.41            362           406
2026-06-25 07:02:37      32.49        45.60            447           523
2026-06-25 07:07:30      33.05        44.67            456           553
2026-06-25 07:12:23      33.21        44.49            410           476
2026-06-25 07:17:16      33.31        44.41            426           492
2026-06-25 07:22:09      33.48        44.21            427           494
2026-06-25 07:27:02      33.51        44.18            431           494
2026-06-25 07:31:55      33.35        44.25            464           527
2026-06-25 07:36:48      33.57        44.09            453           527
2026-06-25 07:41:41      33.70        43.46            503           583
2026-06-25 07:46:34      34.16        43.43            515           596
2026-06-25 07:51:27      34.30        43.34            621           779
2026-06-25 07:56:20      34.47        43.06            462           661
2026-06-25 08:01:13      34.55        43.00            436           524
2026-06-25 08:06:06      34.60        43.23            459           552
2026-06-25 08:10:59      34.67        43.11            457           516
2026-06-25 08:15:52      34.78        42.89            513           648
2026-06-25 08:20:45      34.91        43.14            465           601
2026-06-25 08:25:38      34.86        43.20            483           799
2026-06-25 08:30:31      34.94        43.12            472           522
2026-06-25 08:35:24      36.02        41.57            403           442
2026-06-25 08:40:17      35.31        42.65            447           530
2026-06-25 08:45:10      35.15        43.13            455           498
2026-06-25 08:50:03      35.24        43.16            443           511
2026-06-25 08:54:56      35.28        43.28            653          1124
2026-06-25 08:59:49      35.28        43.08            403           511
2026-06-25 09:04:42      35.46        42.93            400           446
2026-06-25 09:09:35      35.53        43.23            408           462
2026-06-25 09:14:28      35.56        43.39            406           465
2026-06-25 09:19:21      35.48        43.86            433           636
2026-06-25 09:24:13      35.46        43.56            463           541
2026-06-25 09:29:06      35.58        43.10            413           452
2026-06-25 09:33:59      35.65        43.15            364           410
2026-06-25 09:38:52      35.81        42.11            361           421
2026-06-25 09:43:45      35.80        42.95            403           468
2026-06-25 09:48:38      35.96        42.83            391           414
2026-06-25 09:53:31      36.09        42.76            406           435
2026-06-25 09:58:24      36.19        42.55            424           481
2026-06-25 10:03:17      36.29        42.45            425           473
2026-06-25 10:08:10      36.41        42.41            432           485
2026-06-25 10:13:03      36.44        42.42            436           511
2026-06-25 10:17:56      36.50        42.32            409           434
2026-06-25 10:22:49      36.56        42.22            441           504
2026-06-25 10:27:42      36.57        42.07            444           521
2026-06-25 10:32:35      36.64        42.06            422           460
2026-06-25 10:37:28      36.68        42.08            423           481
2026-06-25 10:42:21      36.69        42.07            426           486
2026-06-25 10:47:14      36.74        41.97            409           464
2026-06-25 10:52:07      36.79        41.60            412           489
2026-06-25 10:57:00      37.14        41.36            425           491
2026-06-25 11:01:53      37.37        41.21            448           556
2026-06-25 11:06:46      37.49        41.05            419           461
2026-06-25 11:11:39      37.51        41.04            437           511
2026-06-25 11:16:32      37.47        41.01            439           492
2026-06-25 11:21:25      37.43        41.13            447           506
2026-06-25 11:26:18      37.34        41.19            417           494
2026-06-25 11:31:11      37.27        41.27            431           490
2026-06-25 11:36:04      37.21        41.37            396           441
2026-06-25 11:40:57      37.24        41.36            426           479
2026-06-25 11:45:49      37.19        41.41            390           462
2026-06-25 11:50:42      37.20        41.48            382           424
2026-06-25 11:55:35      37.13        41.59            351           420
2026-06-25 12:00:28      37.11        41.70            366           424
2026-06-25 12:05:21      37.08        41.77            354           400
2026-06-25 12:10:14      37.06        41.80            364           416
2026-06-25 12:15:07      37.04        41.82            328           373
2026-06-25 12:20:00      37.03        41.92            331           374
2026-06-25 12:24:53      36.98        42.01            344           406
2026-06-25 12:29:46      36.99        41.85            323           359
2026-06-25 12:34:39      37.01        41.83            330           355
2026-06-25 12:39:32      36.96        41.87            336           379
2026-06-25 12:44:25      36.98        41.81            324           407
2026-06-25 12:49:18      36.98        41.85            327           410
2026-06-25 12:54:11      36.97        41.80            327           363
2026-06-25 12:59:04      36.98        41.87            331           375
2026-06-25 13:03:57      36.94        41.85            323           367
2026-06-25 13:08:50      37.01        41.83            305           361
2026-06-25 13:13:43      37.08        41.72            326           376
2026-06-25 13:18:36      37.09        41.93            306           347
2026-06-25 13:23:29      37.06        41.89            317           379
2026-06-25 13:28:22      37.04        41.97            322           375
2026-06-25 13:33:15      37.01        42.02            327           390
2026-06-25 13:38:08      37.02        41.95            338           431
2026-06-25 13:43:01      37.06        41.88            340           380
2026-06-25 13:47:54      37.04        41.91            324           356
2026-06-25 13:52:47      37.04        41.87            332           398
2026-06-25 13:57:40      36.98        41.99            329           369
2026-06-25 14:02:33      36.96        41.90            321           383
2026-06-25 14:07:25      36.97        41.99            319           349
2026-06-25 14:12:18      37.01        42.02            351           400
2026-06-25 14:17:11      37.05        42.02            354           385
2026-06-25 14:22:04      37.10        41.74            318           360
2026-06-25 14:26:57      37.36        41.52            426           467
2026-06-25 14:31:50      37.56        41.40            423           482
2026-06-25 14:36:43      37.52        41.51            406           467
2026-06-25 14:41:36      37.46        41.64            390           436
2026-06-25 14:46:29      37.40        41.76            376           436
2026-06-25 14:51:22      37.33        41.83            343           384
2026-06-25 14:56:15      37.25        41.95            335           393
2026-06-25 15:01:08      37.26        41.92            338           378
2026-06-25 15:06:01      37.18        42.36            613          1514
2026-06-25 15:10:54      37.21        41.86            302           342
2026-06-25 15:15:47      37.36        41.74            306           403
2026-06-25 15:20:40      37.39        41.80            321           360
2026-06-25 15:25:33      37.47        41.66            317           343
2026-06-25 15:30:26      37.43        41.86            300           365
2026-06-25 15:35:19      37.48        41.76            273           323
2026-06-25 15:40:12      37.38        42.21            294           345
2026-06-25 15:45:05      37.43        42.10            290           326
2026-06-25 15:49:58      37.33        42.27            284           312
2026-06-25 15:54:51      37.28        42.31            305           349
2026-06-25 15:59:44      37.22        42.47            302           349
2026-06-25 16:04:37      37.19        42.48            305           369
2026-06-25 16:09:30      37.15        42.49            291           319
2026-06-25 16:14:23      37.18        42.45            298           332
2026-06-25 16:19:16      37.17        42.42            308           371
2026-06-25 16:24:08      37.17        42.43            310           338
2026-06-25 16:29:01      37.15        42.48            298           356
2026-06-25 16:33:54      37.09        42.53            295           330
2026-06-25 16:38:47      37.10        42.53            303           348
2026-06-25 16:43:40      37.12        42.47            281           294
2026-06-25 16:48:33      37.10        42.56            298           337
2026-06-25 16:53:26      37.12        42.50            278           300
2026-06-25 16:58:19      37.04        42.71            294           326
2026-06-25 17:03:12      37.10        42.62            304           344
2026-06-25 17:08:05      37.08        42.52            292           320
2026-06-25 17:12:58      37.14        42.52            322           367
2026-06-25 17:17:51      37.14        42.54            323           407
2026-06-25 17:22:44      37.16        42.53            292           333
2026-06-25 17:27:37      37.01        42.78            312           337
2026-06-25 17:32:30      37.03        42.67            285           325
2026-06-25 17:37:23      37.08        42.60            293           323
2026-06-25 17:42:16      37.07        42.58            323           369
2026-06-25 17:47:09      37.07        42.68            301           360
2026-06-25 17:52:02      37.09        42.69            309           363
2026-06-25 17:56:55      37.04        42.58            305           332
2026-06-25 18:01:48      37.08        42.67            314           353
2026-06-25 18:06:41      37.02        42.76            327           350
2026-06-25 18:11:34      36.99        42.77            289           308
2026-06-25 18:16:27      37.00        42.80            297           330
2026-06-25 18:21:20      37.03        42.75            304           347
2026-06-25 18:26:13      36.97        42.89            295           338
2026-06-25 18:31:06      36.97        42.35            331           352
2026-06-25 18:35:59      37.18        42.56            328           381
2026-06-25 18:40:51      37.25        42.57            323           371
2026-06-25 18:45:44      37.23        42.62            307           346
2026-06-25 18:50:37      37.20        42.68            323           369
2026-06-25 18:55:30      37.17        42.74            286           307
2026-06-25 19:00:23      37.15        42.83            334           411
2026-06-25 19:05:16      37.25        42.75            286           330
2026-06-25 19:10:09      37.28        42.68            304           345
2026-06-25 19:15:02      37.19        43.10            373           616
2026-06-25 19:19:55      37.23        42.99            292           334
2026-06-25 19:24:48      37.27        42.76            349           398
2026-06-25 19:29:41      37.79        42.27            354           395
2026-06-25 19:34:34      37.87        42.39            332           372
2026-06-25 19:39:27      37.76        42.58            336           371
2026-06-25 19:44:20      37.76        42.59            317           358
2026-06-25 19:49:13      37.62        42.84            347           408
2026-06-25 19:54:06      37.55        42.79            341           398
2026-06-25 19:58:59      37.51        42.98            344           386
2026-06-25 20:03:52      37.42        43.19            328           375
2026-06-25 20:08:45      37.38        43.18            310           342
2026-06-25 20:13:38      37.43        43.10            329           345
2026-06-25 20:18:31      37.42        43.06            323           355
2026-06-25 20:23:24      37.42        43.07            335           386
2026-06-25 20:28:17      37.27        43.30            330           367
2026-06-25 20:33:10      37.34        43.24            312           338
2026-06-25 20:38:03      37.33        43.20            328           404
2026-06-25 20:42:56      37.38        43.12            335           396
2026-06-25 20:47:49      37.35        43.10            312           347
2026-06-25 20:52:42      37.37        43.27            316           346
2026-06-25 20:57:34      37.30        43.02            322           366
2026-06-25 21:02:27      37.21        42.72            334           382
2026-06-25 21:07:20      35.40        45.42            309           338
2026-06-25 21:12:13      35.45        45.01            284           346
2026-06-25 21:17:06      35.26        45.18            303           347
2026-06-25 21:21:59      35.25        44.98            286           326
2026-06-25 21:26:52      35.15        45.12            282           300
2026-06-25 21:31:45      34.99        45.35            293           336
2026-06-25 21:36:38      34.94        45.33            286           324
2026-06-25 21:41:31      34.96        45.24            292           325
2026-06-25 21:46:24      34.88        45.23            272           314
2026-06-25 21:51:17      34.85        45.24            298           319
